path,count,percent_total
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_operator_ingress_end_to_end.py,13,0.11
src/cadrumo/adapters/persistence/storage/custody/tests/test_registration.py,13,0.11
src/cadrumo/application/aggregation/tests/test_currency_conversion_pipeline_parity.py,13,0.11
src/cadrumo/application/aggregation/tests/test_identification_is_never_derived_from_country.py,13,0.11
src/cadrumo/application/filing/tests/test_binding_input_channels.py,13,0.11
src/cadrumo/application/ledger/tests/test_grounded_reading_wiring.py,13,0.11
src/cadrumo/application/ledger/tests/test_readiness_query.py,13,0.11
src/cadrumo/application/overview/tests/test_obligation_coverage.py,13,0.11
src/cadrumo/application/user_profile/tests/test_profile_keys.py,13,0.11
src/cadrumo/application/user_profile/tests/test_workbench_bootstrap.py,13,0.11
src/cadrumo/domain/calculations/registry/tests/test_authority_artifact.py,13,0.11
src/cadrumo/domain/calculations/registry/tests/test_withholding_clave_breakdown.py,13,0.11
dev/registry/tests/test_modelo_303_registry_schedules.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/_export_modelo_303_support.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/_verify_ledger_drift_gate_support.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_actions_lifecycle.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_actions_lifecycle_restore_guards.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_detach_attachments.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_export_output_paths.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_filed_capture_external_baseline.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_lifecycle_event_atomicity.py,12,0.1
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_register_service.py,12,0.1
src/cadrumo/application/aggregation/tests/test_invoice_line_currency_refusal.py,12,0.1
src/cadrumo/application/modelo/tests/test_participation_rebuild.py,12,0.1
src/cadrumo/application/overview/tests/test_calendar_applicability_consistency.py,12,0.1
src/cadrumo/domain/calculations/registry/tests/test_modelo_303_registry_schedules.py,12,0.1
src/cadrumo/entrypoints/tui/tests/test_manager_masked_field_preservation.py,12,0.1
dev/quality/import_checker.py,11,0.1
dev/registry/tests/test_supported_filing_years_catalogue.py,11,0.1
src/cadrumo/adapters/outbound/llm/tests/test_reverse_charge_reading_against_a_loopback_reader.py,11,0.1
src/cadrumo/adapters/persistence/profile/tests/test_actions_create.py,11,0.1
src/cadrumo/adapters/persistence/profile/tests/test_actions_export_serialization.py,11,0.1
src/cadrumo/adapters/persistence/profile/tests/test_justificante_capture_stamp.py,11,0.1
src/cadrumo/adapters/persistence/profile/tests/test_structured_path_postal_codes.py,11,0.1
src/cadrumo/adapters/persistence/storage/master_key/tests/test_login_handover_sequential_registration.py,11,0.1
src/cadrumo/adapters/persistence/storage/tests/test_sectores_diferenciados_verification.py,11,0.1
src/cadrumo/application/ledger/tests/test_declared_facts_channel.py,11,0.1
src/cadrumo/application/ledger/tests/test_history_query.py,11,0.1
src/cadrumo/application/modelo/tests/test_art109_base_excludes_subvenciones.py,11,0.1
src/cadrumo/application/operations/_supervisor_settlement.py,11,0.1
src/cadrumo/application/prorrata_register/tests/test_election.py,11,0.1
src/cadrumo/domain/calculations/registry/schema_references.py,11,0.1
src/cadrumo/domain/calculations/registry/tests/test_binding_reachability_probe.py,11,0.1
src/cadrumo/domain/invoices/tests/test_invoice_intracommunity_destination.py,11,0.1
src/cadrumo/domain/invoices/tests/test_rate_parity.py,11,0.1
src/cadrumo/domain/iva/tests/test_legend_derivation.py,11,0.1
src/cadrumo/entrypoints/cli/tests/test_config_descendiente_payload_parity.py,11,0.1
src/cadrumo/entrypoints/tui/tests/test_manager_screen.py,11,0.1
dev/registry/tests/test_facts_category_profile_retirement.py,10,0.09
src/cadrumo/adapters/outbound/aeat/sede/filed_data_capture_port.py,10,0.09
src/cadrumo/adapters/persistence/operations/tests/test_censal_operation_executor.py,10,0.09
src/cadrumo/adapters/persistence/profile/m036_lifecycle.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_actions_lifecycle_reset.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_binding_prefill.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_cross_period_clean_state_gates.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_overrides.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_llm_saturation_apply.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_modelo_100_2025_expense_inspection_live.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_modelo_200_first_year_cuota_e2e.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_modelo_720_foreign_asset_producer_join.py,10,0.09
src/cadrumo/adapters/persistence/profile/tests/test_pulled_history_reaches_calculate.py,10,0.09
src/cadrumo/adapters/persistence/storage/tests/test_justificante_capture.py,10,0.09
src/cadrumo/application/aggregation/tests/test_invoice_and_bank_feeds_agree.py,10,0.09
src/cadrumo/application/aggregation/tests/test_invoice_screen_routes_exempt_base.py,10,0.09
src/cadrumo/application/calculations/tests/test_modelo_322_grupo_individual_continuity.py,10,0.09
src/cadrumo/application/calculations/tests/test_prorrata_art104_tres_exclusion_oracle.py,10,0.09
src/cadrumo/application/ledger/tests/test_postal_shape_finding.py,10,0.09
src/cadrumo/application/ledger/tests/test_ratios_censo_override.py,10,0.09
src/cadrumo/application/modelo/tests/test_state_attribution_ratio.py,10,0.09
src/cadrumo/application/user_profile/tests/test_services.py,10,0.09
src/cadrumo/domain/deadlines/tests/test_irpf_activity_kind.py,10,0.09
src/cadrumo/domain/iva/tests/test_catalogue_period_keyed.py,10,0.09
src/cadrumo/entrypoints/tests/test_registered_executor_conformance.py,10,0.09
dev/registry/tests/test_facts_holiday_calendar_retirement.py,9,0.08
dev/registry/tests/test_ledger_expense_chain_aeat_local_worked_example.py,9,0.08
dev/registry/tests/test_modelo_202_registry.py,9,0.08
src/cadrumo/adapters/persistence/profile/catalogue_creation.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_actions_export_lifecycle.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_actions_import_errors.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_actions_reviewed_excluded.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_bienes_inversion_regularizacion_source_mesh_enrollment.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_dormant_m349_invoice_resolver_live.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_llm_evidence_split_apply.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_llm_evidence_wiring.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_modelo_100_negative_general_base_carry_live.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_modelo_200_accounting_input_guard.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_operator_storage_session.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_overrides.py,9,0.08
src/cadrumo/adapters/persistence/profile/tests/test_relation_fold_in_live.py,9,0.08
src/cadrumo/application/aggregation/tests/test_impatriado_income_ledger.py,9,0.08
src/cadrumo/application/aggregation/tests/test_iva_recargo_regime.py,9,0.08
src/cadrumo/application/aggregation/tests/test_m303_transitional_rate_rung_allocation.py,9,0.08
src/cadrumo/application/aggregation/tests/test_prorrata_regime_gate_parity.py,9,0.08
src/cadrumo/application/filing/tests/test_export_xml_dictionary_sign_branches.py,9,0.08
src/cadrumo/application/invoices/tests/test_clave_category_consistency.py,9,0.08
src/cadrumo/application/ledger/llm_review_workflow.py,9,0.08
src/cadrumo/application/ledger/tests/test_classification_rule_plan.py,9,0.08
src/cadrumo/application/ledger/tests/test_regime_contradiction.py,9,0.08
src/cadrumo/application/ledger/tests/test_registration_concordance.py,9,0.08
src/cadrumo/application/modelo/tests/test_autonomic_deduccion_advisory.py,9,0.08
src/cadrumo/application/modelo/tests/test_minimo_descendientes_engine.py,9,0.08
src/cadrumo/application/modelo/tests/test_profile_binding_real_path.py,9,0.08
src/cadrumo/domain/calculations/registry/tests/test_ledger_renta_gastos_estimacion_directa_binding.py,9,0.08
src/cadrumo/domain/categories/tests/test_registry.py,9,0.08
src/cadrumo/domain/iva/flow.py,9,0.08
src/cadrumo/domain/transactions/tests/test_counterparty_establishment_country.py,9,0.08
src/cadrumo/domain/transactions/tests/test_volumen_ingresos.py,9,0.08
src/cadrumo/entrypoints/cli/tests/test_modelo_source_mesh_calculate.py,9,0.08
dev/registry/tests/test_applicability_registry_cutover.py,8,0.07
dev/registry/tests/test_cross_revision_drift.py,8,0.07
dev/registry/tests/test_m322_2024_grupo_entidades_manual_worked_example.py,8,0.07
dev/registry/tests/test_m353_2024_grupo_entidades_manual_worked_example.py,8,0.07
dev/registry/tests/test_modelo_309_registry.py,8,0.07
dev/registry/tests/test_modelo_322_registry.py,8,0.07
dev/registry/tests/test_schema_hygiene.py,8,0.07
src/cadrumo/adapters/outbound/llm/tests/test_invoice_field_contract.py,8,0.07
